window_hours,split,path_context,n,mean_legacy_quality,median_legacy_quality,mean_data_quality,median_data_quality,mean_signal_clarity,median_signal_clarity,mean_activity_level,median_activity_level,mean_abs_score,median_abs_score,mean_rejection,p90_rejection,mean_cascade,median_directionality,median_active_z,p90_active_z,mean_active_dominance
6,test,path_directional_core,17,0.5472738752637136,0.5244655139909742,0.9352941176470588,0.9,0.5841209060651564,0.566113606197169,0.6395489146585207,0.6523201065239732,51.03001907500218,56.12356989420353,0.176219040863398,0.4271583736012733,0.13653692061914569,0.9999999999257159,0.9015733290027631,1.808823180855359,0.14638409916806458
6,test,path_directional_weak,214,0.5992603439362287,0.5946605589144796,0.9733644859813084,1.0,0.6167611427001487,0.6024093620896391,0.65330844411028,0.6604976470844559,51.5495932847792,54.29306555649823,0.23826546671967408,0.76779904012954,0.1642560994408049,0.9999999998738303,0.8799893355961756,2.54279231743872,0.19673329841648857
6,test,path_mixed_pressure,4368,0.31953244876366327,0.3253839360362283,0.9738095238095239,1.0,0.32790267117177735,0.32871522560636124,0.5388369364558135,0.5422491161166871,50.0,50.0,0.0,0.0,0.0,0.9999999986617697,0.6882716544513943,2.335086067433768,0.16875346703075872
6,test,path_neutral_pressure,2024,0.3069251026668111,0.32499999999999996,0.9749505928853754,1.0,0.3141478082607865,0.32499999999999996,0.35615224921568567,0.3638851011010982,50.0,50.0,0.0,0.0,0.0,0.9999999386736526,0.6377066541273265,2.1968246036951875,0.1550240194979604
6,train,path_directional_core,85,0.5674577771729813,0.5653378281797858,0.9270588235294117,0.9,0.6132195311828994,0.5947851465047127,0.6737835755366237,0.6788429861625198,40.06904094462086,43.23619590243052,0.1183864505090493,0.46346870148622127,0.29548257511618103,0.9999999999050574,1.2959513612039024,5.801154450922504,0.3750470610526061
6,train,path_directional_weak,801,0.59567332616586,0.5974998141450026,0.9425717852684145,0.9,0.6337898168048969,0.6289789821604141,0.6732300258937296,0.6843589458447789,43.59325488483167,44.34512436174667,0.18276602079973436,0.7374484065791682,0.2919141427496273,0.9999999998766427,1.2036656966205774,4.3526652217291675,0.3276984877267251
6,train,path_mixed_pressure,18537,0.3203019501752946,0.3269377183986186,0.9685601769434106,1.0,0.33064246798971925,0.33183921500045344,0.5508446515710164,0.555118096044579,50.0,50.0,0.0,0.0,0.0,0.9999999987706256,0.6870650264784063,2.564092668630432,0.18120009772526852
6,train,path_neutral_pressure,8482,0.30366018385108784,0.32499999999999996,0.9764088658335298,1.0,0.30996756940089226,0.32499999999999996,0.35394085908048334,0.36286873173401674,50.0,50.0,0.0,0.0,0.0,0.999999964351068,0.5771315732693921,2.009347378587462,0.1329447734228595
6,validation,path_directional_core,23,0.6224510565676935,0.6415385483955287,0.9434782608695652,0.9,0.6620681146232156,0.7077234428185424,0.6884936695855426,0.707202284280381,31.227166233888635,19.89750893652556,0.11295819592746818,0.5570558367081435,0.45552972246747236,0.9999999999288905,2.933257878156184,4.508276916851884,0.5594138332560464
6,validation,path_directional_weak,342,0.6021328510582691,0.5961576153450086,0.9605263157894737,1.0,0.6280841724627987,0.6166670140355615,0.6562647606969239,0.6724228910451149,48.000204216846335,49.05546037107027,0.22016212127386062,0.8766384445599594,0.22652196250511195,0.9999999998952727,1.0008199410333634,2.9426859505693974,0.2523877371893643
6,validation,path_mixed_pressure,3703,0.32182468246983836,0.32671335367167287,0.9766135565757494,1.0,0.32948796281167564,0.32920880299109323,0.5404040793716167,0.5477834595544446,50.0,50.0,0.0,0.0,0.0,0.9999999987785797,0.7213936915435376,2.364492237819259,0.17163320469683271
6,validation,path_neutral_pressure,1912,0.3119335024993725,0.32499999999999996,0.9869246861924686,1.0,0.31562725880152886,0.32499999999999996,0.33679124420002526,0.3468839862861641,50.0,50.0,0.0,0.0,0.0,0.9999999450812987,0.546525647173778,1.7734812156102795,0.11170472938814702
12,test,path_directional_core,21,0.5745334603806488,0.5792828865960662,0.9571428571428572,1.0,0.6015084597500121,0.6200253068475786,0.6429740204343384,0.6680811766174668,44.294541777153285,44.719560519259325,0.1023681677327305,0.4439956756409387,0.257421936251449,0.9999999999549347,1.58909418950365,2.6070245329085036,0.32694968360967147
12,test,path_directional_weak,300,0.5850980303195903,0.5847813574639403,0.9743333333333334,1.0,0.6013560738023007,0.5986864108300991,0.6420788583134504,0.6484430002779454,44.719057387758404,46.08847976364969,0.1251656086793455,0.3775795251052724,0.22552198301356247,0.9999999999230331,0.8098079778792454,1.96918018048052,0.15475164280638865
12,test,path_mixed_pressure,4137,0.30811865363971114,0.3134964678404676,0.9741600193376843,1.0,0.31570117236246503,0.3187563964291034,0.5428795966750712,0.5436878047346669,50.0,50.0,0.0,0.0,0.0,0.9999999993935079,0.7050410357926346,2.0655987689870257,0.15376278658912906
12,test,path_neutral_pressure,2165,0.29721849474662515,0.32499999999999996,0.9739491916859122,1.0,0.3039451492585629,0.32499999999999996,0.3646203238415189,0.3728732981194653,50.0,50.0,0.0,0.0,0.0,0.9999999923649925,0.6210158443438034,1.9703653424666685,0.13826837995214883
12,train,path_directional_core,151,0.5823175849204217,0.5848502024319353,0.9417218543046357,0.9,0.6201935480763536,0.6190139926193602,0.6669219081166415,0.6690058317639422,34.041783992244554,36.68487743969325,0.06005615858571221,0.22970533764905732,0.36972807459873563,0.9999999999321426,2.01202985538357,7.767159167628307,0.49500465416114575
12,train,path_directional_weak,1055,0.5944517327831818,0.6026788609664261,0.9482464454976303,0.9,0.6285572892193642,0.632913854841349,0.6668716947625439,0.6738452961763437,40.04462182983649,39.00112747773633,0.13571126728933333,0.5510595959972542,0.31952815804244894,0.9999999999205004,1.2279767524041307,4.428167058212685,0.3415388702623433
12,train,path_mixed_pressure,18029,0.3139236362906467,0.32200122030878453,0.9689167452437738,1.0,0.3235042718216568,0.3269834008281959,0.5516544137333163,0.5544525861682081,50.0,50.0,0.0,0.0,0.0,0.9999999993991451,0.697023656792648,2.3471522954741078,0.17293214753674835
12,train,path_neutral_pressure,8670,0.2924014384289399,0.3011403266619896,0.9749365628604384,1.0,0.29832634958466214,0.32491958370306984,0.3635801090587059,0.37113735395392977,50.0,50.0,0.0,0.0,0.0,0.9999999924021072,0.5170706763965447,1.730034221708718,0.10863121897394114
12,validation,path_directional_core,41,0.5994463546236565,0.6080549358847103,0.9609756097560975,1.0,0.6264034151251191,0.6365901402944665,0.648839041381004,0.6795733375740974,37.78485445561216,38.74044573367117,0.0954667139798367,0.45530046770205695,0.34539019827674294,0.9999999999569092,1.9591716288750363,5.255196808385781,0.41511672836876773
12,validation,path_directional_weak,552,0.5984522969817948,0.5999680916890722,0.9670289855072463,1.0,0.6198042227353516,0.6130536813064618,0.6563093299398064,0.6720780666722315,44.14856910276819,44.81008477798488,0.16529610562175912,0.5719877558880715,0.25086520848543875,0.9999999999230635,0.9464338193969802,2.939544519377631,0.2489193259411827
12,validation,path_mixed_pressure,3306,0.3145390201846996,0.32375912180945005,0.9761040532365396,1.0,0.32190192717575333,0.3254702445111771,0.5446536637384124,0.5466258515011233,50.0,50.0,0.0,0.0,0.0,0.9999999994128359,0.7306314969389753,2.2935721895276737,0.1664891060951972
12,validation,path_neutral_pressure,2081,0.3032043786737721,0.32499999999999996,0.9867371456030755,1.0,0.30655631468713807,0.32499999999999996,0.3443839496299498,0.3518878368798781,50.0,50.0,0.0,0.0,0.0,0.9999999922675009,0.5051099723479852,1.485674900093946,0.0834241969383045
