window_hours,split,path_label,n,proportion
24,test,path_normal_mixed_active_breakout_down,613,0.09255624339423223
24,test,path_normal_mixed_active_breakout_up,554,0.08364789370375962
24,test,path_normal_active_dominance_up,365,0.055110976898686395
24,test,path_normal_active_dominance_down,326,0.049222406764306205
24,test,path_mixed_active_breakout_down,307,0.04635361618601842
24,test,path_mixed_active_breakout_up,268,0.04046504605163823
24,test,path_active_dominance_up,170,0.025668126226785444
24,test,path_active_dominance_down,160,0.024158236448739243
24,test,path_partial_absorption,139,0.020987467914842215
24,test,path_baseline_transmission,133,0.020081534048014493
24,test,path_cascade_transmission,90,0.013589008002415824
24,test,path_pressure_rejection,73,0.011022195379737278
24,test,path_full_absorption_stall,70,0.01056922844632342
24,test,path_reversal_takeover,45,0.006794504001207912
24,train,path_mixed_pressure_chop,9209,0.33001254255509765
24,train,path_quiet_no_pressure,5933,0.2126142268410679
24,train,path_normal_mixed_active_breakout_down,2496,0.0894463357821179
24,train,path_normal_mixed_active_breakout_up,2438,0.0873678552230783
24,train,path_mixed_active_breakout_up,1754,0.06285611897509406
24,train,path_mixed_active_breakout_down,1420,0.050886937824762585
24,train,path_normal_active_dominance_up,1077,0.038595233829062894
24,train,path_normal_active_dominance_down,931,0.033363196559756315
24,train,path_cascade_transmission,659,0.02361583945529475
24,train,path_active_dominance_up,456,0.016341157498656153
24,train,path_active_dominance_down,323,0.011574986561548109
24,train,path_baseline_transmission,273,0.009783192976169145
24,train,path_partial_absorption,272,0.009747357104461566
24,train,path_full_absorption_stall,197,0.007059666726393119
24,train,path_pressure_rejection,175,0.006271277548826375
24,train,path_reversal_takeover,173,0.006199605805411216
24,train,path_unavailable,119,0.004264468733201935
24,validation,path_mixed_pressure_chop,1575,0.2633779264214047
24,validation,path_quiet_no_pressure,1357,0.22692307692307692
24,validation,path_normal_mixed_active_breakout_down,477,0.07976588628762542
24,validation,path_normal_mixed_active_breakout_up,460,0.07692307692307693
24,validation,path_normal_active_dominance_up,340,0.056856187290969896
24,validation,path_mixed_active_breakout_up,279,0.04665551839464883
24,validation,path_mixed_active_breakout_down,230,0.038461538461538464
24,validation,path_cascade_transmission,213,0.035618729096989966
24,validation,path_normal_active_dominance_down,198,0.03311036789297659
24,validation,path_partial_absorption,185,0.030936454849498328
24,validation,path_pressure_rejection,148,0.024749163879598662
24,validation,path_baseline_transmission,144,0.024080267558528427
24,validation,path_active_dominance_up,138,0.023076923076923078
24,validation,path_full_absorption_stall,104,0.017391304347826087
24,validation,path_reversal_takeover,98,0.016387959866220735
24,validation,path_active_dominance_down,34,0.00568561872909699
48,test,path_mixed_pressure_chop,2095,0.3163219085006794
48,test,path_quiet_no_pressure,1376,0.20776083345915747
48,test,path_normal_mixed_active_breakout_down,734,0.11082590970859127
48,test,path_normal_mixed_active_breakout_up,648,0.09784085761739393
48,test,path_normal_active_dominance_up,301,0.0454476823191907
48,test,path_normal_active_dominance_down,286,0.043182847652121395
48,test,path_baseline_transmission,231,0.03487845387286728
48,test,path_partial_absorption,224,0.03382153102823494
48,test,path_mixed_active_breakout_down,161,0.024309225426543863
48,test,path_active_dominance_down,136,0.020534500981428356
48,test,path_mixed_active_breakout_up,126,0.01902461120338215
48,test,path_active_dominance_up,104,0.015702853691680507
48,test,path_full_absorption_stall,72,0.010871206401932659
48,test,path_cascade_transmission,71,0.010720217424128039
48,test,path_pressure_rejection,44,0.0066435150234032915
48,test,path_reversal_takeover,14,0.0021138456892646836
48,train,path_mixed_pressure_chop,9991,0.35803619423042465
48,train,path_quiet_no_pressure,6141,0.2200680881562444
48,train,path_normal_mixed_active_breakout_down,2692,0.09647016663680344
48,train,path_normal_mixed_active_breakout_up,2449,0.08776204981186167
48,train,path_normal_active_dominance_up,1056,0.03784268052320373
48,train,path_mixed_active_breakout_up,1016,0.03640924565490056
48,train,path_cascade_transmission,854,0.03060383443827271
48,train,path_normal_active_dominance_down,792,0.028382010392402793
48,train,path_mixed_active_breakout_down,783,0.028059487547034582
48,train,path_partial_absorption,491,0.01759541300842143
48,train,path_baseline_transmission,387,0.013868482350833183
48,train,path_active_dominance_up,365,0.01308009317326644
48,train,path_pressure_rejection,210,0.00752553305859165
48,train,path_full_absorption_stall,208,0.007453861315176492
48,train,path_active_dominance_down,164,0.005877082960043003
48,train,path_reversal_takeover,163,0.005841247088335424
48,train,path_unavailable,143,0.005124529654183838
48,validation,path_mixed_pressure_chop,1684,0.28160535117056856
48,validation,path_quiet_no_pressure,1475,0.24665551839464883
48,validation,path_normal_mixed_active_breakout_down,424,0.07090301003344482
48,validation,path_normal_mixed_active_breakout_up,422,0.0705685618729097
48,validation,path_normal_active_dominance_up,313,0.05234113712374582
48,validation,path_cascade_transmission,286,0.04782608695652174
48,validation,path_partial_absorption,261,0.04364548494983277
48,validation,path_baseline_transmission,249,0.041638795986622075
48,validation,path_normal_active_dominance_down,175,0.029264214046822744
48,validation,path_full_absorption_stall,162,0.02709030100334448
48,validation,path_pressure_rejection,150,0.02508361204013378
48,validation,path_mixed_active_breakout_up,133,0.022240802675585283
48,validation,path_active_dominance_up,86,0.014381270903010033
48,validation,path_reversal_takeover,80,0.013377926421404682
48,validation,path_mixed_active_breakout_down,62,0.01036789297658863
48,validation,path_active_dominance_down,18,0.0030100334448160534
