horizon,split,n,mean_u,median_u,std_u,p10,p90
20m,test,1755,0.5023437917804346,0.48830811554332876,0.29303458881922184,0.10950989208633094,0.9052893070159259
20m,train,8359,0.500920679278874,0.5008726003490401,0.28785933559403115,0.10239713717693838,0.8995903533407532
20m,validation,1848,0.49893572246290424,0.4869655891553702,0.29714146485489035,0.0992,0.8996023856858847
30m,test,1799,0.5012214527466641,0.5045992115637319,0.2901071106779746,0.09997321958112702,0.8987508108917314
30m,train,8448,0.5013283810197037,0.5020256726491122,0.2876390555338688,0.10171216803703988,0.8998262353089852
30m,validation,1850,0.4970928979005111,0.48395647909106776,0.2908199799002362,0.10539243114016124,0.8957318322887695
60m,test,1815,0.49424088626778384,0.48996832101372756,0.2781734695835371,0.12139783420816191,0.8878954607977991
60m,train,8661,0.5012086841240917,0.502177068214804,0.2877497671209982,0.10218978102189781,0.8996832101372756
60m,validation,1880,0.49246129694365315,0.4758348565348124,0.2844519754149683,0.11184481153521401,0.8932230687707059
