time,window_hours,split,price,hmm_state,path_pressure_name,path_context,path_label,path_return_bps,path_signed_plie_effective_sum_bps,path_raw_plie_total_bps,path_net_braw_bps,path_direction_consistency,path_liq_neutrality_score,path_snr,path_active_z,path_transmission_ratio,path_absorption_score_0_100,path_quality,path_pressure_rejection_score,path_cascade_score,path_active_dominance_score,path_active_dominance_price_score,_example_score
2025-09-22T19:50:00Z,24,test,112243.12741726,5.0,downward_pressure,path_directional_core,path_baseline_transmission,-289.7228469384572,-236.04462237933856,285.1191101040502,285.11911010405015,0.9999999999637069,3.6293079652693905e-11,0.29907042157018526,3.1447156847027373,1.2274071064056142,23.54167997218691,0.6150912771718289,0.0,0.6614491747528194,0.7873109304920769,-0.7873109304920769,2.4729870845519297
2023-08-17T21:50:00Z,24,train,26412.98319705813,5.0,downward_pressure,path_directional_core,path_cascade_transmission,-909.6651142159279,-228.89700241340557,283.1505679749141,283.1505679749141,0.9999999999577142,4.2285841495015575e-11,0.3527477548457381,13.56879254852881,3.9741241895733905,2.0201723098961897,0.6523164295895193,0.0,0.7993201096401453,0.9640275800758169,-0.9640275800758169,3.4156641193054815
2023-09-12T06:50:00Z,24,train,25742.13768407695,5.0,downward_pressure,path_directional_core,path_full_absorption_stall,-31.75686166749301,-217.16758840028032,289.14953890705885,289.14953890705885,0.9999999999557028,4.429723254872897e-11,0.28910419698127215,0.40669501618319903,0.14623205010138515,46.47614329517894,0.4667956426578223,0.0,0.11220608396954031,0.0,-0.0,0.6277457433278243
2023-08-18T21:50:00Z,24,train,26062.1195488049,5.0,downward_pressure,path_directional_core,path_partial_absorption,-133.72775226952328,-245.39790660268983,314.9610267823127,314.9610267823127,0.9999999999665791,3.3420932687988625e-11,0.4081950326719754,1.8243466005922426,0.5449425144668799,37.010612503531284,0.5416329212686262,0.0,0.3893811899227917,0.4442290806072937,-0.4442290806072937,1.556890696621005
2023-09-12T10:50:00Z,24,train,26133.805042451695,5.0,downward_pressure,path_directional_core,path_pressure_rejection,168.12764641168707,-218.31341102377775,287.7351510814212,287.7351510814211,0.9999999999563789,4.362110672673225e-11,0.2927542217969311,2.1470334902122143,-0.7701205602646427,67.78001065928561,0.5387808952435336,0.3788181305824974,0.0,0.5517569744775014,0.5517569744775014,1.72606285372508
2023-09-12T14:50:00Z,24,train,26092.465306382815,5.0,downward_pressure,path_directional_core,path_reversal_takeover,380.8452862646454,-208.44853838488027,276.84170340743,276.84170340743,0.9999999999525948,4.7405190883864634e-11,0.25219588007492283,4.5531602805354945,-1.8270470458258814,85.18940580922643,0.6906570794920595,0.9413225166925633,0.0,0.9341845776099408,0.9341845776099408,3.1751798557365243
2023-08-17T14:50:00Z,24,train,28379.581299465997,5.0,downward_pressure,path_directional_weak,path_baseline_transmission,-235.7693464420193,-194.77319920782796,243.10537976405743,243.10537976405743,0.9999999999357155,6.42844666387532e-11,0.23935126412136037,3.6276819866964094,1.2104814594601228,23.60844196086149,0.6148372742014948,0.0,0.6605084230434978,0.8562101857750531,-0.8562101857750531,2.5350497028400865
2022-11-08T20:50:00Z,24,train,18307.351291492872,5.0,downward_pressure,path_directional_weak,path_cascade_transmission,-1286.1974962388458,-217.1501001210268,289.58173737040477,289.5817373704047,0.9999999999591966,4.0803360690233603e-11,0.13740338374691158,7.211091288465941,5.9230803739720645,0.6413167827133095,0.6524820030247283,0.0,0.7999333445836343,0.9640275800758169,-0.9640275800758169,3.4164429276841792
2025-05-06T02:50:00Z,24,validation,94419.0956200093,5.0,downward_pressure,path_directional_weak,path_full_absorption_stall,27.283613610197563,-198.9305424782688,247.34129336675517,247.34129336675514,0.9999999999417829,5.821709780917672e-11,0.16086361863282925,0.2555120987235282,-0.13715145633326203,53.17642907531847,0.5227783585847688,0.07592786201714942,0.0,0.0,0.0,0.6444233727130055
2023-08-30T14:50:00Z,24,train,27156.35396497916,5.0,downward_pressure,path_directional_weak,path_partial_absorption,-97.4800184341433,-159.13613389352275,288.8210249007539,288.8210249007539,0.9999999999479318,5.2068238609592754e-11,0.2668237107367735,1.3542930902391233,0.6125574126285749,35.891223076609805,0.5494096255858929,0.0,0.41818379852701604,0.2622980997377792,-0.2622980997377792,1.434077328060213
2025-02-19T22:50:00Z,24,validation,96582.1848510925,5.0,downward_pressure,path_directional_weak,path_pressure_rejection,158.7491986189504,-197.9496884445269,247.06512236652736,247.06512236652733,0.9999999999511494,4.8850590239624125e-11,0.17840154822427626,1.383503636998253,-0.801967408312623,67.60043849145406,0.6127520330776257,0.37584011031574466,0.0,0.27434566542288485,0.27434566542288485,1.5302602782537962
2023-08-30T08:50:00Z,24,train,27482.010827546368,5.0,downward_pressure,path_directional_weak,path_reversal_takeover,560.4250888760316,-117.80527117662197,238.1253916293095,238.1253916293095,0.9999999999394098,6.059019952431299e-11,0.23385600149653302,7.940870976577717,-4.757215727902748,98.71226872275915,0.7064081184803165,0.9996596981459347,0.0,0.9640275800758169,0.9640275800758169,3.670095396702068
