bin_index,interval,count,median,mean,std,min,max,prop_q_high,prop_q_low
0,0.303427420151973,8242,0.41915722578725345,0.40792476167682007,0.05015420508225918,0.21217955415745327,0.5156069743094263,0.1811070337735393,0.0
1,0.098661511710951,5331,0.47152526891579677,0.47168945251961236,0.016590354282696822,0.4308532640779951,0.5295147757889461,0.2982486980597244,0.1811070337735393
2,0.07793494591966366,4016,0.4947253826619666,0.49438872674616596,0.010695082306709177,0.46924308445195206,0.5471780303716157,0.38649497901513985,0.2982486980597244
3,0.057561829219839156,3663,0.5119799835416571,0.5113342148665934,0.006444160656194849,0.49430888282496993,0.5518707120448091,0.4669845525060977,0.38649497901513985
4,0.24432285740990617,3625,0.5247871176056804,0.525102214444516,0.007388190805770788,0.44500556210266257,0.6893284195125687,0.5466391263266607,0.4669845525060977
5,0.04092801631294052,4031,0.5377706340382925,0.5379288839161046,0.005179404464292292,0.5223192757302813,0.5632472920432218,0.6352150124151267,0.5466391263266607
6,0.04803143884029859,4377,0.5542920856038962,0.5544697006950862,0.008551588051025308,0.5270462681356549,0.5750777069759535,0.7313937902392933,0.6352150124151267
7,0.07360819013649,4847,0.5771775557014628,0.5768771464369608,0.014051330636695046,0.539394068938151,0.613002259074641,0.8379001955657123,0.7313937902392933
8,0.3010568079831413,7377,0.6280363229210516,0.6398168881442715,0.049408673137345864,0.5524101335165099,0.8534669414996512,1.0,0.8379001955657123
