time,fll_spike_kama,fsl_spike_kama,fll_velocity_gaussian,fll_acceleration_gaussian,fsl_velocity_gaussian,fsl_acceleration_gaussian,trend_pressure,kalman_slope,vol_adaptive
2024-01-01 00:00:00+00:00,,,,,,,,0.0,
2024-01-01 00:30:00+00:00,0.4803139469808877,-0.2190876564739768,0.009620278901129872,,-0.00883365060144524,,,-0.005197311951883616,
2024-01-01 01:00:00+00:00,0.4776210759639981,-0.014143567932364678,0.004569123247642359,-0.010102311306975024,0.002676477325642246,0.02302025585417497,,-0.0007231288584007758,
2024-01-01 01:30:00+00:00,1.2207915086661396,0.25994826254714226,0.024156069094840207,0.039173891694395696,0.014169757722053727,0.022986560792822963,,0.0013530392297437608,
2024-01-01 02:00:00+00:00,0.8991934599730481,0.2240161842275226,0.0057813878913814815,-0.03674936240691745,0.008431916785215848,-0.011475681873675758,,-0.0004625940187277559,
2024-01-01 02:30:00+00:00,1.0011687277498018,0.0833125093020169,0.0017542867562688191,-0.008054202270225325,-0.002992960451341814,-0.022849754473115325,,-0.0018517248111261596,
2024-01-01 03:00:00+00:00,0.8448781339936605,0.3809480915092593,-0.0044200421821351255,-0.01234865787680789,0.00943433285747644,0.02485458661763651,,-0.002076076972772796,
2024-01-01 03:30:00+00:00,1.1497923534827905,0.27818785920301936,0.006760758120234342,0.022361600604738935,0.0030552441516763784,-0.012758177411600125,,-0.0021272100656711044,
2024-01-01 04:00:00+00:00,2.115339650305533,0.5736870252721851,0.06788496095697234,0.122248405673476,0.01622374060771807,0.026336992912083385,-1.0161413464947158,-0.0020085165127878353,
2024-01-01 04:30:00+00:00,2.0945038265894005,0.5604292317933317,0.04734637889836055,-0.04107716411722359,0.010789180006283247,-0.010869121202869647,-1.8317004514757043,-0.002079677076412674,
2024-01-01 05:00:00+00:00,1.968178419010749,0.3464567491671045,0.008020613332129473,-0.07865153113246215,-0.007773878821147273,-0.03712611765486104,-0.6088409886127284,-0.0017932841965925509,
2024-01-01 05:30:00+00:00,1.9447181862732208,-0.006602825380704734,-0.0061968322668051745,-0.028434891197869294,-0.02320232539392214,-0.030856893145549735,0.24588056035599973,-0.001374372111757209,
2024-01-01 06:00:00+00:00,2.12887702613312,0.21837726929492868,0.011205110299479681,0.03480388513256971,-0.00633996055949497,0.03372472966885434,0.23061164864964337,-0.0010488273861750344,
2024-01-01 06:30:00+00:00,2.0790358062513117,0.5470451566607529,0.006181043720916046,-0.01004813315712727,0.018234948158070016,0.04914981743512997,0.826736550091269,-0.0005966947475450871,
2024-01-01 07:00:00+00:00,2.2922822846606747,0.2314826767019584,0.02344576543983748,0.034529443437842866,-0.0019054150017259464,-0.040280726319591925,1.0589517221452758,-0.0001964433449274704,
2024-01-01 07:30:00+00:00,2.0533816354917382,0.14285157077322627,-0.007931987135487956,-0.06275550515065087,-0.010116113285454031,-0.01642139656745617,1.0669784087478607,-5.3183743889274556e-05,
2024-01-01 08:00:00+00:00,1.90827889911809,0.29643743719605725,-0.023886633792093687,-0.03190929331321146,-5.6550363193921815e-05,0.02011912584452022,0.8684522153490182,0.00010563970992402837,0.002067625016016007
2024-01-01 08:30:00+00:00,2.0337474330617127,0.13564152435339544,-0.004854207437766961,0.03806485270865345,-0.004567979715319512,-0.00902285870425118,0.09445286662399693,7.428634107523984e-05,0.0020117804111930726
2024-01-01 09:00:00+00:00,2.402080039508635,0.10739593281635823,0.04094146300953136,0.09159134089459664,-0.004652045723314777,-0.00016813201599052974,0.45623450252706976,0.00017640633576446733,0.002054358550420746
2024-01-01 09:30:00+00:00,2.0830120735741082,0.6603165489988938,-0.0025894406480041487,-0.08706180731507102,0.02662416395124087,0.0625524193491113,-0.07033853480915957,0.00023968295266661174,0.00200773273120332
