event_time,u20,u30,u60,neutral_active_strength_30m,split,hmm_state,plie_phase,plie_direction,available_time,mar_curve_label,mar_response_conflict_score
2021-09-06T05:50:00Z,,0.4624,0.7213352685050798,,train,1.0,normal,1.0,2021-09-06T06:50:00Z,mixed_or_noise,0.2589352685050798
2021-09-06T06:50:00Z,,,0.3193033381712627,45.19647601734023,train,1.0,normal,1.0,2021-09-06T07:50:00Z,mixed_or_noise,0.0
2021-09-06T07:50:00Z,,,0.2656023222060958,44.259544119703534,train,1.0,normal,1.0,2021-09-06T08:50:00Z,mixed_or_noise,0.0
2021-09-06T08:50:00Z,,,0.8272859216255443,35.01608166689974,train,1.0,normal,1.0,2021-09-06T09:50:00Z,mixed_or_noise,0.0
2021-09-06T09:50:00Z,,,0.2960812772133527,33.9532932456999,train,1.0,normal,1.0,2021-09-06T10:50:00Z,mixed_or_noise,0.0
2021-09-06T10:50:00Z,,,0.059506531204644414,43.54635715284576,train,1.0,normal,1.0,2021-09-06T11:50:00Z,mixed_or_noise,0.0
2021-09-06T11:50:00Z,,,0.12336719883889695,75.9054677667459,train,1.0,normal,1.0,2021-09-06T12:50:00Z,mixed_or_noise,0.0
2021-09-06T12:50:00Z,,,0.8025343189017952,61.22220668437981,train,1.0,accelerating,1.0,2021-09-06T13:50:00Z,mixed_or_noise,0.0
2021-09-06T13:50:00Z,0.8824214202561118,0.8913813459268005,0.8099260823653643,,train,1.0,accelerating,1.0,2021-09-06T14:50:00Z,persistent_cascade_transmission,0.08145526356143618
2021-09-06T14:50:00Z,0.49243306169965073,0.42384887839433294,0.43611404435058077,,train,1.0,accelerating,1.0,2021-09-06T15:50:00Z,mixed_or_noise,0.06858418330531779
2021-09-06T15:50:00Z,0.33061699650756693,0.5041322314049587,0.3706441393875396,,train,1.0,accelerating,1.0,2021-09-06T16:50:00Z,mixed_or_noise,0.17351523489739173
2021-09-06T16:50:00Z,0.7159487776484285,0.706021251475797,0.7254487856388595,,train,1.0,accelerating,1.0,2021-09-06T17:50:00Z,mixed_or_noise,0.019427534163062532
2021-09-06T17:50:00Z,0.4912689173457509,0.36481700118063753,0.665258711721225,,train,1.0,accelerating,1.0,2021-09-06T18:50:00Z,mixed_or_noise,0.30044171054058744
2021-09-06T18:50:00Z,0.8207217694994179,0.7497048406139315,0.382259767687434,,train,1.0,accelerating,1.0,2021-09-06T19:50:00Z,mixed_or_noise,0.43846200181198386
2021-09-06T19:50:00Z,0.41327124563445866,0.7922077922077922,0.7212249208025343,,train,1.0,accelerating,1.0,2021-09-06T20:50:00Z,mixed_or_noise,0.3789365465733336
2021-09-06T20:50:00Z,0.5632,0.4256,0.7227866473149492,,train,1.0,normal,1.0,2021-09-06T21:50:00Z,mixed_or_noise,0.29718664731494926
2021-09-06T21:50:00Z,0.864,0.9184,0.8911465892597968,,train,1.0,normal,1.0,2021-09-06T22:50:00Z,persistent_cascade_transmission,0.054400000000000004
2021-09-06T22:50:00Z,0.2464,0.4336,0.6240928882438317,,train,1.0,normal,1.0,2021-09-06T23:50:00Z,mixed_or_noise,0.3776928882438317
2021-09-06T23:50:00Z,0.5888,0.248,0.3076923076923077,,train,1.0,normal,1.0,2021-09-07T00:50:00Z,mixed_or_noise,0.3408
2021-09-07T00:50:00Z,0.7712,0.7344,0.4629898403483309,,train,1.0,normal,1.0,2021-09-07T01:50:00Z,mixed_or_noise,0.3082101596516691
2021-09-07T01:50:00Z,0.8440046565774156,0.7567886658795749,0.7750791974656811,,train,1.0,accelerating,1.0,2021-09-07T02:50:00Z,fast_to_sustained_transmission,0.0872159906978407
2021-09-07T02:50:00Z,0.7120418848167539,0.5837651122625216,0.4117647058823529,,train,1.0,mature,1.0,2021-09-07T03:50:00Z,mixed_or_noise,0.300277178934401
2021-09-07T03:50:00Z,0.581151832460733,0.43005181347150256,0.37770897832817335,,train,1.0,mature,1.0,2021-09-07T04:50:00Z,mixed_or_noise,0.20344285413255964
2021-09-07T04:50:00Z,0.3961605584642234,0.6027633851468048,0.7244582043343654,,train,1.0,mature,1.0,2021-09-07T05:50:00Z,mixed_or_noise,0.328297645870142
2021-09-07T05:50:00Z,0.3682373472949389,0.25734024179620035,0.19659442724458204,,train,1.0,mature,1.0,2021-09-07T06:50:00Z,mixed_or_noise,0.17164292005035686
2021-09-07T06:50:00Z,0.047729918509895226,0.18654073199527746,0.4593453009503696,,train,1.0,accelerating,1.0,2021-09-07T07:50:00Z,mixed_or_noise,0.41161538244047435
2021-09-07T07:50:00Z,0.06286379511059371,0.02715466351829988,0.02006335797254488,,train,1.0,accelerating,1.0,2021-09-07T08:50:00Z,persistent_reversal_takeover,0.04280043713804883
2021-09-07T08:50:00Z,0.43888242142025613,0.5525383707201889,0.0791974656810982,,train,1.0,accelerating,1.0,2021-09-07T09:50:00Z,mixed_or_noise,0.47334090503909065
2021-09-07T09:50:00Z,0.7380675203725262,0.6824085005903188,0.8627243928194298,,train,1.0,accelerating,1.0,2021-09-07T10:50:00Z,mixed_or_noise,0.18031589222911104
2021-09-07T10:50:00Z,0.36437718277066355,0.3600944510035419,0.2893347412882788,,train,1.0,accelerating,1.0,2021-09-07T11:50:00Z,mixed_or_noise,0.07504244148238476
2021-09-07T11:50:00Z,0.3333333333333333,0.17098445595854922,0.5340557275541795,,train,1.0,mature,1.0,2021-09-07T12:50:00Z,mixed_or_noise,0.3630712715956303
2021-09-07T12:50:00Z,0.24607329842931938,0.5751295336787565,0.16563467492260062,,train,1.0,mature,1.0,2021-09-07T13:50:00Z,mixed_or_noise,0.4094948587561559
2021-09-07T13:50:00Z,0.06519208381839348,0.018890200708382526,0.009503695881731784,,train,1.0,accelerating,1.0,2021-09-07T14:50:00Z,persistent_reversal_takeover,0.05568838793666169
2021-09-07T14:50:00Z,0.0011641443538998836,0.0023612750885478157,0.0031678986272439284,,train,1.0,accelerating,1.0,2021-09-07T15:50:00Z,persistent_reversal_takeover,0.002003754273344045
2021-09-07T15:50:00Z,0.9452852153667055,0.8370720188902007,0.9598732840549102,,train,1.0,accelerating,1.0,2021-09-07T16:50:00Z,persistent_cascade_transmission,0.12280126516470957
2021-09-07T16:50:00Z,0.30034924330616997,0.02833530106257379,0.050686378035902854,,train,1.0,accelerating,1.0,2021-09-07T17:50:00Z,mixed_or_noise,0.27201394224359615
2021-09-07T17:50:00Z,0.03608847497089639,0.2231404958677686,0.7486800422386484,,train,1.0,accelerating,1.0,2021-09-07T18:50:00Z,delayed_transmission,0.712591567267752
2021-09-07T18:50:00Z,0.7043073341094296,0.6269185360094451,0.3558606124604013,,train,1.0,accelerating,1.0,2021-09-07T19:50:00Z,mixed_or_noise,0.3484467216490283
2021-09-07T19:50:00Z,0.239813736903376,0.7426210153482881,0.4498416050686378,,train,1.0,accelerating,1.0,2021-09-07T20:50:00Z,mixed_or_noise,0.502807278444912
2021-09-07T20:50:00Z,0.13736903376018628,0.07792207792207792,0.14044350580781415,,train,1.0,accelerating,1.0,2021-09-07T21:50:00Z,persistent_reversal_takeover,0.06252142788573622
2021-09-07T21:50:00Z,0.8544819557625145,0.9256198347107438,0.8680042238648363,,train,1.0,accelerating,1.0,2021-09-07T22:50:00Z,persistent_cascade_transmission,0.07113787894822932
2021-09-07T22:50:00Z,0.26352530541012215,0.8359240069084629,0.47678018575851394,,train,1.0,mature,1.0,2021-09-07T23:50:00Z,mixed_or_noise,0.5723987014983407
2021-09-07T23:50:00Z,0.28272251308900526,0.5371329879101899,0.7848297213622291,,train,1.0,mature,1.0,2021-09-08T00:50:00Z,delayed_transmission,0.5021072082732239
2021-09-08T00:50:00Z,0.09598603839441536,0.15544041450777202,0.43808049535603716,,train,1.0,mature,1.0,2021-09-08T01:50:00Z,mixed_or_noise,0.3420944569616218
2021-09-08T01:50:00Z,0.9022687609075044,0.8324697754749568,0.5913312693498453,,train,1.0,mature,1.0,2021-09-08T02:50:00Z,mixed_or_noise,0.31093749155765915
2021-09-08T18:50:00Z,0.6577464788732394,0.42756349952963313,0.5023354564755839,,train,1.0,early_strong_entry,1.0,2021-09-08T19:50:00Z,mixed_or_noise,0.23018297934360632
2021-09-08T19:50:00Z,0.05355064027939464,0.053128689492325853,0.1562829989440338,,train,1.0,accelerating,1.0,2021-09-08T20:50:00Z,persistent_reversal_takeover,0.10315430945170795
2021-09-08T20:50:00Z,0.8544,0.4576,0.3788098693759071,,train,1.0,normal,1.0,2021-09-08T21:50:00Z,mixed_or_noise,0.47559013062409294
2021-09-08T21:50:00Z,0.968,0.9792,0.9608127721335269,,train,1.0,normal,1.0,2021-09-08T22:50:00Z,persistent_cascade_transmission,0.018387227866473066
2021-09-08T22:50:00Z,0.0896,0.048,0.027576197387518143,,train,1.0,normal,1.0,2021-09-08T23:50:00Z,persistent_reversal_takeover,0.06202380261248186
2021-09-08T23:50:00Z,0.7808,0.7312,0.001451378809869376,,train,1.0,normal,1.0,2021-09-09T00:50:00Z,delayed_absorption,0.7793486211901307
2021-09-09T00:50:00Z,1.0,0.9984,1.0,,train,1.0,normal,1.0,2021-09-09T01:50:00Z,persistent_cascade_transmission,0.0016000000000000458
2021-09-09T01:50:00Z,0.8672,0.2544,0.10595065312046444,,train,1.0,normal,1.0,2021-09-09T02:50:00Z,delayed_absorption,0.7612493468795355
2021-09-09T02:50:00Z,0.7424,0.8544,0.7895500725689405,,train,1.0,normal,1.0,2021-09-09T03:50:00Z,mixed_or_noise,0.1120000000000001
2021-09-09T03:50:00Z,0.888,0.8768,0.8896952104499274,,train,1.0,normal,1.0,2021-09-09T04:50:00Z,persistent_cascade_transmission,0.012895210449927363
2021-09-09T04:50:00Z,0.2192,0.6656,0.6037735849056604,,train,1.0,normal,1.0,2021-09-09T05:50:00Z,mixed_or_noise,0.44639999999999996
2021-09-09T05:50:00Z,0.2112,0.0784,0.2772133526850508,,train,1.0,normal,1.0,2021-09-09T06:50:00Z,fast_absorption_or_takeover,0.19881335268505082
2021-09-09T17:50:00Z,,,0.08870116156282999,91.5256607467487,train,1.0,accelerating,1.0,2021-09-09T18:50:00Z,neutral_active_dominance,0.0
2021-09-09T18:50:00Z,,,0.46673706441393875,5.789400083904349,train,1.0,accelerating,1.0,2021-09-09T19:50:00Z,mixed_or_noise,0.0
2021-09-09T19:50:00Z,0.5797438882421421,,0.08025343189017951,82.38008670116068,train,1.0,accelerating,1.0,2021-09-09T20:50:00Z,mixed_or_noise,0.49949045635196254
2021-09-09T20:50:00Z,0.7660069848661234,0.8158205430932703,0.747624076029567,,train,1.0,accelerating,1.0,2021-09-09T21:50:00Z,fast_to_sustained_transmission,0.0681964670637033
2021-09-09T21:50:00Z,0.7322467986030268,0.5218417945690673,0.6958817317845829,,train,1.0,accelerating,1.0,2021-09-09T22:50:00Z,mixed_or_noise,0.21040500403395945
2021-09-10T22:50:00Z,0.0112,0.0288,0.023222060957910014,,train,5.0,normal,-1.0,2021-09-10T23:50:00Z,persistent_reversal_takeover,0.017599999999999998
2021-09-10T23:50:00Z,,,0.0420899854862119,77.73737938749825,train,5.0,normal,-1.0,2021-09-11T00:50:00Z,mixed_or_noise,0.0
2021-09-11T00:50:00Z,,,0.06821480406386067,82.60383163193958,train,5.0,normal,-1.0,2021-09-11T01:50:00Z,mixed_or_noise,0.0
2021-09-11T01:50:00Z,,,0.8859556494192186,58.663124038596,train,5.0,accelerating,-1.0,2021-09-11T02:50:00Z,mixed_or_noise,0.0
2021-09-11T02:50:00Z,,,0.7275607180570222,63.51559222486366,train,5.0,accelerating,-1.0,2021-09-11T03:50:00Z,mixed_or_noise,0.0
2021-09-12T05:50:00Z,0.8553990610328639,0.5465663217309501,0.8267515923566879,,train,5.0,early_strong_entry,-1.0,2021-09-12T06:50:00Z,mixed_or_noise,0.3088327393019138
2021-09-12T06:50:00Z,0.5952,0.7824,0.15529753265602322,,train,5.0,normal,-1.0,2021-09-12T07:50:00Z,mixed_or_noise,0.6271024673439768
2021-09-12T07:50:00Z,0.0064,,0.008708272859216255,97.4269332960425,train,5.0,normal,-1.0,2021-09-12T08:50:00Z,neutral_active_dominance,0.0023082728592162547
2021-09-12T08:50:00Z,,,0.6066763425253991,58.15969794434345,train,5.0,normal,-1.0,2021-09-12T09:50:00Z,mixed_or_noise,0.0
2021-09-13T07:50:00Z,0.9107981220657277,0.6820319849482597,0.7031847133757961,,train,5.0,early_strong_entry,-1.0,2021-09-13T08:50:00Z,fast_to_sustained_transmission,0.22876613711746807
2021-09-13T08:50:00Z,0.16414435389988358,0.4911452184179457,0.3400211193241816,,train,5.0,accelerating,-1.0,2021-09-13T09:50:00Z,mixed_or_noise,0.3270008645180621
2021-09-13T09:50:00Z,0.06169965075669383,0.12396694214876033,0.20908130939809927,,train,5.0,accelerating,-1.0,2021-09-13T10:50:00Z,fast_absorption_or_takeover,0.14738165864140546
2021-09-13T10:50:00Z,0.9685681024447031,0.6080283353010626,0.25976768743400214,,train,5.0,accelerating,-1.0,2021-09-13T11:50:00Z,delayed_absorption,0.708800415010701
2021-09-13T11:50:00Z,0.23632130384167638,0.6328217237308147,0.7803590285110876,,train,5.0,accelerating,-1.0,2021-09-13T12:50:00Z,delayed_transmission,0.5440377246694112
2021-09-13T12:50:00Z,0.3457508731082654,0.22195985832349469,0.005279831045406547,,train,5.0,accelerating,-1.0,2021-09-13T13:50:00Z,mixed_or_noise,0.3404710420628589
2021-09-13T13:50:00Z,0.9988358556461001,0.9988193624557261,0.9989440337909187,,train,5.0,accelerating,-1.0,2021-09-13T14:50:00Z,persistent_cascade_transmission,0.00012467133519256102
2021-09-13T14:50:00Z,0.3119906868451688,0.1782762691853601,0.11298838437170011,,train,5.0,accelerating,-1.0,2021-09-13T15:50:00Z,mixed_or_noise,0.19900230247346867
2021-09-13T15:50:00Z,0.8847497089639115,0.7260920897284534,0.5100316789862724,,train,5.0,accelerating,-1.0,2021-09-13T16:50:00Z,mixed_or_noise,0.37471802997763903
2021-09-13T16:50:00Z,0.47264260768335276,0.38134592680047225,0.4508975712777191,,train,5.0,accelerating,-1.0,2021-09-13T17:50:00Z,mixed_or_noise,0.09129668088288051
