feature,count,non_na_ratio,finite_ratio,zero_ratio,mean,std,median,skew,kurtosis,p005,p01,p05,p95,p99,p995,min,max
fll_spike_kama,44864,0.9999777109105094,0.9999777109105094,0.0,0.005206291571635096,0.0761663712128959,-0.0059294020374214326,1.5217753313186027,6.013090230427901,-0.1603646049191491,-0.14300163651478318,-0.09426116433284008,0.14229251810143626,0.2620738803594969,0.3204956048951887,-0.2688663069451563,0.7529690995452916
fsl_spike_kama,44864,0.9999777109105094,0.9999777109105094,0.0,0.006363078083922078,0.07731416074714921,-0.004679791369840395,3.291910216327077,40.722369594797826,-0.16255409093694226,-0.1411219802585339,-0.09012605284470641,0.13456714837247483,0.25306330676098093,0.3083985672852377,-0.2388904632641367,1.3865829600189312
fll_velocity_gaussian,44864,0.9999777109105094,0.9999777109105094,0.0,-5.20197817387154e-07,0.01400809386602904,-0.002635940299950623,1.5035348395343302,4.116489350546786,-0.02005483274030479,-0.01919520354635431,-0.016641456389018816,0.02619306505601786,0.04716786680620532,0.05551997359546414,-0.022411506864012498,0.1373123353224195
fll_acceleration_gaussian,44863,0.9999554218210186,0.9999554218210186,0.0,-1.3526287070507468e-06,0.004755708636173995,-0.00032981930815534355,1.3180888403830011,8.052017737714447,-0.013269696843398735,-0.011294357084206324,-0.006702270585061121,0.00800979854115747,0.016247006356245867,0.020420361475512423,-0.03212101806996559,0.05472258002032282
fsl_velocity_gaussian,44864,0.9999777109105094,0.9999777109105094,0.0,1.5704933773106568e-05,0.013180456174867473,-0.0025329036542771632,1.864799926096823,14.129757403690183,-0.01903991069080238,-0.018343581792680766,-0.01578189524086574,0.02464274712532954,0.04270648363358365,0.050836569701983615,-0.021450125484111515,0.30520949916461015
fsl_acceleration_gaussian,44863,0.9999554218210186,0.9999554218210186,0.0,-6.1219529975076316e-06,0.004464850032029287,-0.000324690223546531,0.1113596113187612,55.971846993337394,-0.012465127063365172,-0.010446076965347908,-0.006132524023787988,0.007379712330662261,0.014726219020392268,0.018231365035209123,-0.16785102501139826,0.08236717668662918
trend_pressure,44861,0.9999108436420372,0.9999108436420372,2.2291076881924167e-05,0.009352221301382503,1.0110156496603924,0.01432211497762526,-0.016150073653895255,0.43064921961703684,-2.7389939574180637,-2.511073495703265,-1.7070523367950532,1.7186219340176998,2.528824975678134,2.758299656208932,-5.4359968023821175,3.931824781398398
kalman_slope,44865,1.0,1.0,2.2289089490694304e-05,1.813343155030674e-05,0.0014823742956554431,2.0492992865961203e-05,-0.2592003857337229,4.850223561907425,-0.005428368749313149,-0.004490985909081471,-0.0023283973561275357,0.002352170686534633,0.00422359501809596,0.005038890145430822,-0.010805866268600266,0.009282347922843524
vol_adaptive,44857,0.9998216872840745,0.9998216872840745,0.0,0.0053379144713202025,0.003550525875768523,0.004490300559141106,3.17077979356228,24.391256010512354,0.0009101074081672762,0.00108037562455484,0.0016898213407354544,0.011601002982138356,0.01832357586672808,0.02144754416430126,0.0003954726740885248,0.07236568222875656
