latest_time,window_days,window_start,subset,horizon_min,n,target_quantile,coverage_actual_le_plie,coverage_error,pinball_q,pinball_null_train_q,improvement_vs_null_pct,mean_aligned_actual_bps,median_aligned_actual_bps,mean_plie_mag_bps,transmission_rate,mean_absorption,spearman_abs_plie_vs_aligned,spearman_signed_plie_vs_return
2026-05-12 02:50:00+00:00,14,2026-04-28 02:50:00+00:00,state_1_5,60,134,0.65,0.6119,-0.0381,11.223353,11.220496,-0.0255,3.5065,1.5716,8.9604,0.5448,0.4116,-0.10738,-0.10738
2026-05-12 02:50:00+00:00,14,2026-04-28 02:50:00+00:00,strong_entry,20,2,0.65,0.5,-0.15,10.056215,10.178525,1.2016,11.9775,11.9775,4.5187,0.5,-1.6647,,
2026-05-12 02:50:00+00:00,14,2026-04-28 02:50:00+00:00,strong_entry,30,2,0.65,0.5,-0.15,11.986642,12.247333,2.1286,19.3516,19.3516,6.567,0.5,-1.9771,,
2026-05-12 02:50:00+00:00,14,2026-04-28 02:50:00+00:00,strong_entry,60,2,0.65,0.5,-0.15,17.478673,17.741098,1.4792,28.4474,28.4474,8.6042,0.5,-2.3421,,
2026-05-12 02:50:00+00:00,14,2026-04-28 02:50:00+00:00,plie_abs_top20,20,68,0.65,0.6618,0.0118,7.392136,7.400912,0.1186,-2.9072,-0.4447,6.5229,0.4706,1.3881,0.01863,0.01863
2026-05-12 02:50:00+00:00,14,2026-04-28 02:50:00+00:00,plie_abs_top20,30,68,0.65,0.6618,0.0118,8.706555,8.563265,-1.6733,-1.8356,0.8888,7.9818,0.5294,1.1594,-0.03413,-0.03413
2026-05-12 02:50:00+00:00,14,2026-04-28 02:50:00+00:00,plie_abs_top20,60,68,0.65,0.6765,0.0265,11.604094,11.636621,0.2795,0.2314,0.1877,11.5186,0.5,0.9534,-0.03027,-0.03027
2026-05-12 02:50:00+00:00,14,2026-04-28 02:50:00+00:00,plie_abs_top10,20,34,0.65,0.6471,-0.0029,6.865962,6.92513,0.8544,-2.9048,0.9072,7.7075,0.5,1.3173,-0.19419,-0.19419
2026-05-12 02:50:00+00:00,14,2026-04-28 02:50:00+00:00,plie_abs_top10,30,34,0.65,0.7353,0.0853,7.999839,7.584174,-5.4807,-2.7957,1.7258,9.3869,0.6471,1.2343,-0.24095,-0.24095
2026-05-12 02:50:00+00:00,14,2026-04-28 02:50:00+00:00,plie_abs_top10,60,34,0.65,0.7059,0.0559,12.973662,13.017027,0.3331,1.6625,1.0852,13.5037,0.5294,0.7878,-0.15661,-0.15661
2026-05-12 02:50:00+00:00,14,2026-04-28 02:50:00+00:00,accel_top10,20,34,0.65,0.5882,-0.0618,6.639889,6.654632,0.2215,-3.5291,-0.6922,4.9733,0.4706,4.4382,0.07594,-0.12177
2026-05-12 02:50:00+00:00,14,2026-04-28 02:50:00+00:00,accel_top10,30,34,0.65,0.7647,0.1147,7.260689,6.91529,-4.9947,-6.7395,-5.1322,5.9693,0.3824,4.8326,0.14775,-0.11108
2026-05-12 02:50:00+00:00,14,2026-04-28 02:50:00+00:00,accel_top10,60,34,0.65,0.6765,0.0265,11.546062,11.465886,-0.6993,-5.6038,-8.0163,8.4983,0.4118,4.3524,0.03774,-0.11352
2026-05-12 02:50:00+00:00,14,2026-04-28 02:50:00+00:00,reliability_top20,20,68,0.65,0.75,0.1,6.189619,6.102232,-1.4321,-4.8612,-3.1272,5.4491,0.3529,1.8225,-0.02384,-0.02384
2026-05-12 02:50:00+00:00,14,2026-04-28 02:50:00+00:00,reliability_top20,30,68,0.65,0.7353,0.0853,7.244012,6.910146,-4.8315,-4.4536,-0.708,6.6335,0.4559,1.5391,-0.07867,-0.07867
2026-05-12 02:50:00+00:00,14,2026-04-28 02:50:00+00:00,reliability_top20,60,68,0.65,0.6618,0.0118,9.283769,9.159404,-1.3578,-2.4541,-0.7161,9.688,0.5,1.0762,-0.14872,-0.14872
2026-05-12 02:50:00+00:00,30,2026-04-12 02:50:00+00:00,all,20,720,0.65,0.6486,-0.0014,5.983311,6.119681,2.2284,-0.5143,0.0,1.8552,0.3847,1.581,-0.05646,-0.01501
2026-05-12 02:50:00+00:00,30,2026-04-12 02:50:00+00:00,all,30,720,0.65,0.6625,0.0125,6.959823,7.113285,2.1574,-0.9707,0.0,2.2544,0.3806,-0.0926,-0.06147,-0.04205
2026-05-12 02:50:00+00:00,30,2026-04-12 02:50:00+00:00,all,60,719,0.65,0.6648,0.0148,9.054349,9.39841,3.6608,0.058,0.0,3.1907,0.3992,2.4662,0.01106,-0.02467
2026-05-12 02:50:00+00:00,30,2026-04-12 02:50:00+00:00,state_1_5,20,213,0.65,0.6291,-0.0209,7.350354,7.353361,0.0409,-2.4735,-1.2902,4.6673,0.446,1.5342,0.00739,-0.01194
2026-05-12 02:50:00+00:00,30,2026-04-12 02:50:00+00:00,state_1_5,30,213,0.65,0.6432,-0.0068,8.755724,8.697789,-0.6661,-3.3076,-0.7218,5.7106,0.4789,1.6636,0.02993,-0.01745
2026-05-12 02:50:00+00:00,30,2026-04-12 02:50:00+00:00,state_1_5,60,213,0.65,0.6244,-0.0256,11.498336,11.495735,-0.0226,1.0398,1.2606,8.3629,0.5305,0.7876,-0.06789,-0.06144
2026-05-12 02:50:00+00:00,30,2026-04-12 02:50:00+00:00,strong_entry,20,4,0.65,0.75,0.1,10.546448,10.212174,-3.2733,-6.8232,-6.0149,5.2141,0.25,1.7169,-1.0,-1.0
2026-05-12 02:50:00+00:00,30,2026-04-12 02:50:00+00:00,strong_entry,30,4,0.65,0.75,0.1,13.8705,13.377836,-3.6827,-8.7434,-8.3905,7.3705,0.25,1.6965,-1.0,-1.0
2026-05-12 02:50:00+00:00,30,2026-04-12 02:50:00+00:00,strong_entry,60,4,0.65,0.75,0.1,16.229668,15.60503,-4.0028,-1.7417,0.3141,9.7376,0.5,0.7083,-0.8,-0.8
2026-05-12 02:50:00+00:00,30,2026-04-12 02:50:00+00:00,plie_abs_top20,20,144,0.65,0.625,-0.025,7.722855,7.739344,0.213,-2.8661,-1.2345,5.4441,0.4583,1.52,0.03992,-0.03953
2026-05-12 02:50:00+00:00,30,2026-04-12 02:50:00+00:00,plie_abs_top20,30,144,0.65,0.6806,0.0306,8.941579,8.858246,-0.9407,-3.5856,-1.3837,6.6627,0.4653,1.5845,0.08151,0.0078
2026-05-12 02:50:00+00:00,30,2026-04-12 02:50:00+00:00,plie_abs_top20,60,144,0.65,0.6597,0.0097,10.97451,10.989147,0.1332,-1.493,0.0235,9.6743,0.5,1.1634,0.001,-0.04759
2026-05-12 02:50:00+00:00,30,2026-04-12 02:50:00+00:00,plie_abs_top10,20,72,0.65,0.6806,0.0306,8.395873,8.367552,-0.3385,-3.8244,-1.3762,6.6533,0.4167,1.5606,0.11232,-0.04849
2026-05-12 02:50:00+00:00,30,2026-04-12 02:50:00+00:00,plie_abs_top10,30,72,0.65,0.6944,0.0444,9.53555,9.32801,-2.2249,-3.7848,-0.262,8.1638,0.5,1.44,0.05238,-0.11814
2026-05-12 02:50:00+00:00,30,2026-04-12 02:50:00+00:00,plie_abs_top10,60,72,0.65,0.7222,0.0722,12.367262,12.253948,-0.9247,-1.6397,-2.6161,11.7407,0.4722,1.1172,0.02058,-0.13782
2026-05-12 02:50:00+00:00,30,2026-04-12 02:50:00+00:00,accel_top10,20,72,0.65,0.5417,-0.1083,8.290654,8.147801,-1.7533,-0.6784,0.7651,3.7295,0.5278,3.4847,-0.12322,-0.11753
2026-05-12 02:50:00+00:00,30,2026-04-12 02:50:00+00:00,accel_top10,30,72,0.65,0.7083,0.0583,8.961076,8.675175,-3.2956,-4.1209,-4.3493,4.4762,0.4028,2.9087,-0.09332,-0.18133
2026-05-12 02:50:00+00:00,30,2026-04-12 02:50:00+00:00,accel_top10,60,72,0.65,0.5694,-0.0806,12.414673,11.968387,-3.7289,-2.9478,0.921,6.2768,0.5139,1.4172,-0.11898,-0.08608
2026-05-12 02:50:00+00:00,30,2026-04-12 02:50:00+00:00,reliability_top20,20,144,0.65,0.6528,0.0028,7.166197,7.174766,0.1194,-2.1452,-1.3499,4.8119,0.4306,1.3717,0.01234,0.01755
2026-05-12 02:50:00+00:00,30,2026-04-12 02:50:00+00:00,reliability_top20,30,144,0.65,0.6458,-0.0042,8.645402,8.54614,-1.1615,-2.6758,0.045,5.8743,0.5,1.4427,-0.0012,0.00414
2026-05-12 02:50:00+00:00,30,2026-04-12 02:50:00+00:00,reliability_top20,60,144,0.65,0.6042,-0.0458,11.731966,11.726945,-0.0428,1.938,1.1772,8.6236,0.5278,0.633,-0.10098,-0.09381
2026-05-12 02:50:00+00:00,60,2026-03-13 02:50:00+00:00,all,20,1440,0.65,0.6618,0.0118,5.998758,6.172906,2.8212,-1.2191,0.0,1.3768,0.3632,3.8578,-0.03277,-0.04087
