split,subset,horizon_min,n,mean_aligned_actual_bps,median_aligned_actual_bps,q_aligned_actual_bps,transmission_rate,mean_plie_mag_bps,coverage_actual_le_plie,mean_absorption,spearman_abs_plie_vs_aligned
test,accel_top10,20,608,0.5526,-0.9697,8.9486,0.4786,4.1559,0.5921,0.8181,0.01679
test,accel_top10,30,608,-0.0472,-2.9707,7.6534,0.4638,4.9888,0.6036,1.9899,0.04562
test,accel_top10,60,608,0.177,-0.9804,14.0537,0.4885,6.9303,0.5822,0.0402,-0.00508
test,reliability_top20,20,1216,0.142,0.0159,6.5577,0.5,5.6198,0.6299,1.0309,0.03336
test,reliability_top20,30,1216,0.3802,0.5648,7.3167,0.509,6.8752,0.6242,0.9941,0.02041
test,reliability_top20,60,1216,0.1436,-0.6736,10.2104,0.4877,10.0122,0.6447,0.9849,-0.01855
all,all,20,40508,0.0945,0.0,3.6951,0.4238,2.3889,0.6281,0.553,0.00389
all,all,30,40508,0.2538,0.0,4.5302,0.4252,2.9083,0.6262,0.6871,0.00081
all,all,60,40507,0.2176,-0.0,6.1383,0.4227,4.1264,0.6302,1.1372,0.00262
all,state_1_5,20,15128,0.3379,0.1726,6.7195,0.504,5.1338,0.6076,0.9957,0.01148
all,state_1_5,30,15128,0.5529,0.0761,8.1642,0.5016,6.2854,0.6096,0.9669,0.00296
all,state_1_5,60,15128,0.9232,0.2878,11.6576,0.5035,9.1498,0.6135,0.9372,0.00327
all,strong_entry,20,402,2.5723,1.3831,7.7749,0.5299,6.1703,0.6045,0.5446,-0.01616
all,strong_entry,30,402,3.0888,1.4386,10.8462,0.5274,8.4956,0.6119,0.5975,0.01468
all,strong_entry,60,402,6.4929,3.1382,14.8862,0.5448,11.2855,0.6144,0.3297,-0.00864
all,plie_abs_top20,20,8102,0.9315,0.3163,7.9389,0.5064,6.748,0.6269,0.8414,-0.00016
all,plie_abs_top20,30,8102,1.2418,0.0777,9.3996,0.5021,8.263,0.6287,0.8257,-0.00437
all,plie_abs_top20,60,8102,1.6688,0.1056,13.0891,0.5015,11.8861,0.6365,0.8458,-0.00366
all,plie_abs_top10,20,4051,0.8749,0.5194,8.541,0.5098,8.151,0.6398,0.8726,-0.02527
all,plie_abs_top10,30,4051,1.1815,0.4246,10.0284,0.5056,9.9663,0.6472,0.8564,-0.02967
all,plie_abs_top10,60,4051,1.7347,0.3521,13.655,0.5028,14.2423,0.6569,0.8686,-0.02396
all,accel_top10,20,4051,0.9827,0.3815,8.9599,0.5063,5.0014,0.5821,0.3825,-0.00344
all,accel_top10,30,4051,1.2473,-0.4958,10.3119,0.4922,6.0095,0.5939,0.6461,0.00064
all,accel_top10,60,4051,2.4835,-0.101,14.2355,0.4991,8.4154,0.5902,0.5652,0.01791
all,reliability_top20,20,8102,0.6903,0.113,6.6654,0.5027,5.8675,0.6244,0.9117,0.0178
all,reliability_top20,30,8102,0.9837,0.1534,7.8191,0.5022,7.1641,0.6276,0.8859,0.01026
all,reliability_top20,60,8102,1.1403,-0.0501,11.1411,0.499,10.4144,0.6348,0.9041,0.00187
